id,created_at,updated_at,activity,reference,expiry,userId
1149,2021-04-11 23:18:49.887309,2021-04-11 23:18:49.887309,Logged in,1b64f824ad75bb7aa0533ea61e9fa9d4,2022-04-12 05:18:50,2
1150,2021-04-11 23:18:53.435112,2021-04-11 23:18:53.435112,Logged in,af89cc90dc7d6a56afb2d4a8766ec128,2022-04-12 05:18:53,2
1151,2021-04-11 23:19:07.578875,2021-04-11 23:19:07.578875,Logged in,5cdf9d3e6aaa652f8ae1bd64678ba20f,2022-04-12 05:19:08,2
1152,2021-04-11 23:22:07.954273,2021-04-11 23:22:07.954273,Logged in,d67be17be7735412cfa4e4c987b4641e,2022-04-12 06:22:08,2
1153,2021-04-12 07:34:52.681381,2021-04-12 07:34:52.681381,Password Reset requested,6f55df08aca0a647c6d6c0367e8cc027,2022-04-12 13:34:53,114
1154,2021-04-12 08:16:39.741206,2021-04-12 08:16:39.741206,Logged in,b49a8b6db1c706cb47eac649054703d8,2022-04-12 14:16:40,2
1155,2021-04-12 09:17:21.653187,2021-04-12 09:17:21.653187,Logged in,f1cc9cd53b167df5fa9c22ffdc3ca2d0,2022-04-12 15:17:22,2
1156,2021-04-12 10:54:15.516758,2021-04-12 10:54:15.516758,Logged in,b92bcb2a9af2f741d71667b36290d296,2022-04-12 16:54:16,2
1157,2021-04-12 16:34:07.164032,2021-04-12 16:34:07.164032,Logged in,414d1470ed6eb77af0beec2e1dd75471,2022-04-12 22:34:07,2
1158,2021-04-12 17:04:20.975431,2021-04-12 17:04:20.975431,Logged in,46970e43b276cf2f5f67f59f2cfefcd9,2022-04-12 23:04:21,2
1159,2021-04-13 08:47:58.135309,2021-04-13 08:47:58.135309,Logged in,4f2d266dec43eeb27ad359a53374ab6d,2022-04-13 14:47:58,2
1160,2021-04-13 17:30:11.048175,2021-04-13 17:30:11.048175,Logged in,c2eecb00e8908fc43854b10496e75d3e,2022-04-13 23:30:11,67
1161,2021-04-13 17:35:12.103810,2021-04-13 17:35:12.103810,Accessed Session 6 Recap from Intro to Game Dev with Unity repo [access:1d9bec2ad95::rrtGJAd2ae1e],a9c0f8700a7d1a9501d42fa4efd013c0,2022-04-13 23:35:12,67
1162,2021-04-13 17:45:48.164588,2021-04-13 17:45:48.164588,Logged in,5607cfddac8987858e827a9d9817b303,2022-04-13 23:45:48,111
1163,2021-04-13 17:48:22.997202,2021-04-13 17:48:22.997202,Accessed Session 7 - Starter Files from Intro to Game Dev with Unity repo [access:0274231c583::rrtGJAd2ae1e],8ac7a24534b59050d84c8e7a92ac0475,2022-04-13 23:48:23,111
1164,2021-04-13 17:56:29.073453,2021-04-13 17:56:29.073453,Logged in,d85a1621d9f289a68325eafaff3df571,2022-04-13 23:56:29,69
1165,2021-04-13 17:57:03.090821,2021-04-13 17:57:03.090821,Accessed Session 7 - Starter Files from Intro to Game Dev with Unity repo [access:0274231c583::rrtGJAd2ae1e],75feff7b808ed0ef09dd9b916da3c10d,2022-04-13 23:57:03,69
1166,2021-04-13 18:04:47.729177,2021-04-13 18:04:47.729177,Logged in,e67d60cf7eef0b3ea5adf5d63f61a6c0,2022-04-14 00:04:48,67
1167,2021-04-13 18:35:34.783005,2021-04-13 18:35:34.783005,Logged in,7f123ea06e9f3a1b2901482697f3ca48,2022-04-14 00:35:35,67
1168,2021-04-14 19:18:35.115653,2021-04-14 19:18:35.115653,Logged in,a5c68d35a3d6a5a3473be219ca53aa44,2022-04-15 01:18:35,2
1169,2021-04-15 19:32:57.459850,2021-04-15 19:32:57.459850,Logged in,730768fc9260755ecc10eadf4252db48,2022-04-16 01:32:57,2
1170,2021-04-16 09:36:34.159110,2021-04-16 09:36:34.159110,Password Reset requested,f931c7fcffc4d9e7ef146ee27d8cf57e,2022-04-16 15:36:34,114
1171,2021-04-16 09:36:55.605418,2021-04-16 09:36:55.605418,Logged in,eed63fdff4e63a90b3f99c2c14756187,2022-04-16 15:36:56,114
1172,2021-04-16 09:36:55.847766,2021-04-16 09:36:55.847766,Password expired. Redirecting to update password,38e10a9a5e1d03bbeba6170e5fa65d67,2022-04-16 15:36:56,114
1173,2021-04-16 09:37:21.294009,2021-04-16 09:37:21.294009,Updated password,dd121f4afafc2691077c58f4479cef8a,2022-04-16 15:37:21,114
1174,2021-04-16 09:52:17.355196,2021-04-16 09:52:17.355196,Logged in,c726ffc7f0bcafb0b5574da5c645bfc8,2022-04-16 15:52:17,2
1175,2021-04-16 12:18:39.099872,2021-04-16 12:18:39.099872,Logged in,4f7088fb6a2515dd41410a6163d17f8e,2022-04-16 18:18:39,2
1176,2021-04-16 15:55:43.644590,2021-04-16 15:55:43.644590,Logged in,792215042c18ccdace9745dde4ca2358,2022-04-16 22:55:44,2
1177,2021-04-16 16:26:27.955195,2021-04-16 16:26:27.955195,Logged in,08dfbe169c9db6988ffd34553a711744,2022-04-16 23:26:28,2
